run_name,feature_version,rmse,mae,r2,carbon_kg
v2_rf_n400_d16_leaf1,v2,138.06342156080848,100.29029219469511,0.7536420642677801,0.007186418057408352
v1_rf_n400_d16_leaf1,v1,138.69641661892217,100.85676132822596,0.7513778752495603,0.005930618320069898
v2_rf_n150_d8_leaf2,v2,145.87029308641442,106.67489399975956,0.724993471841685,0.00047754235241607355
v1_rf_n150_d8_leaf2,v1,148.37252229439162,109.02169984420885,0.7154777388195472,0.00023515271754698467
